1,test album,test artist,"",test genre,,2025-04-26,test
2,Digital Dreams,Cyber Syntax,"",Techno,,2024-03-15,Neon Pulse
3,Voltage,Circuit Breaker,"",Acid Techno,,2024-01-22,Acid Rain
4,,Data Ghost,"",Hard Techno,,2024-05-08,Binary Storm
5,Mindscape,Synth Walker,"",Minimal Techno,,2023-11-30,Electric Mind
6,Steel Symphony,Metal Machine,"",Industrial Techno,,2024-02-14,Chrome Hearts
7,,Future Shock,"",Progressive Techno,,2024-06-03,Quantum Leap
8,Neon Nights,Grid Runner,"",Synthwave Techno,,2024-04-18,Laser Grid
9,Cosmic Terror,Void Seeker,"",Dark Techno,,2023-12-05,Dark Matter
10,,Algorithm X,"",Minimal Techno,,2024-07-12,Machine Code
11,Nostalgia Drive,Retro Bot,"",Tech House,,2024-01-09,Cyber Funk
12,Urban Decay,Shadow Tech,"",Underground Techno,,2024-03-27,Neon Underground
13,,Pulse Driver,"",Hard Techno,,2024-05-21,Digital Fever
14,Electric Sheep,Synthetic Soul,"",Ambient Techno,,2023-10-14,Android Dreams
15,System Error,Code Breaker,"",Glitch Techno,,2024-02-28,Matrix Glitch
16,,Power Surge,"",Acid Techno,,2024-08-07,Voltage Spike
17,Invisible Beats,Phantom DJ,"",Minimal Techno,,2024-04-02,Ghost Protocol
18,Weather Control,Digital Hurricane,"",Hard Techno,,2024-06-19,Cyber Storm
19,,Urban Pulse,"",Progressive Techno,,2023-09-23,Neon City
20,Network Traffic,Information Flow,"",Minimal Techno,,2024-01-16,Data Stream
21,Blackout,Dark Current,"",Dark Techno,,2024-07-30,Electric Shadows
22,,Speed Daemon,"",Hard Techno,,2024-03-11,Terminal Velocity
23,Artificial Emotion,Robot Heart,"",Tech House,,2024-05-25,Synthetic Love
24,Photon Dance,Light Bender,"",Synthwave Techno,,2023-12-18,Laser Show
25,,Metal Mind,"",Industrial Techno,,2024-02-06,Chrome City
26,Data Roads,Info Rider,"",Progressive Techno,,2024-08-14,Digital Highway
27,Lost in Light,Grid Walker,"",Minimal Techno,,2024-04-29,Neon Maze
28,,Rebel Code,"",Acid Techno,,2024-06-12,Cyber Punk
29,Consciousness Upload,AI Prophet,"",Ambient Techno,,2023-11-08,Machine Soul
30,Weather Wars,Thunder Tech,"",Hard Techno,,2024-07-03,Electric Storm
31,REM Cycle,Sleep Mode,"",Minimal Techno,,2024-01-31,Digital Dreams
32,Test Album,Test Artist,"",Rock,,2024-01-01,Test Song Success
